Photo,Zone A,Zone B,pattern_energy_diff,Background,Model,Diff100
ElCoco_10JUN22_MSPEC,a1,b1,0.10709425,Selected,BlueTit,10.709425
Elcoco_14MAY22_MSPEC,a1,b1,0.040336445,Selected,BlueTit,4.0336445
ElCoco_19SEP22,a1,b1,0.017618576,Selected,BlueTit,1.7618576
ElCoco_2SEP22,a1,b1,0.043061802,Selected,BlueTit,4.3061802
ElCoco_6MAY22_MSPEC,a1,b1,0.139387319,Selected,BlueTit,13.9387319
Eliane_12APR_MSPEC,a1,b1,0.356441778,Selected,BlueTit,35.6441778
Eliane_19APR_MSPEC,a1,b1,0.046541298,Selected,BlueTit,4.6541298
Gibbard_23APR_MSPEC,a1,b1,0.671407478,Selected,BlueTit,67.1407478
Gibbard_30APR_MSPEC,a1,b1,0.077003991,Selected,BlueTit,7.7003991
Hank_14MAY22_MSPEC,a1,b1,0.671163308,Selected,BlueTit,67.1163308
Hank_19MAY22_MSPEC,a1,b1,0.04645572,Selected,BlueTit,4.645572
Hank_30JULY22_MSPEC,a1,b1,0.017674819,Selected,BlueTit,1.7674819
Hank_5JUL22_MSPEC,a1,b1,0.041028626,Selected,BlueTit,4.1028626
Hank_9JUL22_MSPEC,a1,b1,0.070074662,Selected,BlueTit,7.0074662
Kurt_14MAY22_MSPEC,a1,b1,0.05634679,Selected,BlueTit,5.634679
Kurt_30APR22_MSPEC,a1,b1,0.080278404,Selected,BlueTit,8.0278404
Kurt_7MAY22_MSPEC,a1,b1,0.056744516,Selected,BlueTit,5.6744516
Shakey_11JUN22_MSPEC,a1,b1,0.03354895,Selected,BlueTit,3.354895
Shakey_12APR22_MSPEC,a1,b1,0.170289609,Selected,BlueTit,17.0289609
Shakey_25JUN22_MSPEC,a1,b1,0.094819498,Selected,BlueTit,9.4819498
Shakey_5APR22_MSPEC,a1,b1,0.022935723,Selected,BlueTit,2.2935723
Shakey_7MAY22_MSPEC,a1,b1,0.142989392,Selected,BlueTit,14.2989392
Shania_10JUN22_MSPEC,a1,b1,0.020846478,Selected,BlueTit,2.0846478
Ty_4JUN22_MSPEC,a1,b1,0.146594719,Selected,BlueTit,14.6594719
UnIDF_2SEP22,a1,b1,0.037722893,Selected,BlueTit,3.7722893
Willy_21JUN22_MSPEC,a1,b1,0.02042468,Selected,BlueTit,2.042468
Willy_26APR_MSPEC,a1,b1,0.028074064,Selected,BlueTit,2.8074064
Willy_30APR22_MSPEC,a1,b1,0.05798003,Selected,BlueTit,5.798003
Willy_4JUN22_MSPEC,a1,b1,0.200982715,Selected,BlueTit,20.0982715
Yvette_16APR22_MSPEC,a1,b1,0.107133578,Selected,BlueTit,10.7133578
Yvette_23APR_MSPEC,a1,b1,0.060969331,Selected,BlueTit,6.0969331
Zoe_11JUN22_MSPEC,a1,b1,0.01698586,Selected,BlueTit,1.698586
Zoe_12APR_MSPEC,a1,b1,0.122121654,Selected,BlueTit,12.2121654
AliceR_04JUNE_MSPEC,a1,a1,0.043378789,Random,BlueTit,4.3378789
AliceR_21JUNE_MSPEC,a1,a1,0.075786651,Random,BlueTit,7.5786651
AliceR_26APR_MSPEC,a1,a1,0.611574147,Random,BlueTit,61.1574147
BowieR_30APR_MSPEC,a1,a1,0.086876064,Random,BlueTit,8.6876064
CATEST19R_14JUNE_MSPEC,a1,a1,0.021430247,Random,BlueTit,2.1430247
DustyR_14JUNE_MSPEC,a1,a1,0.055600484,Random,BlueTit,5.5600484
DustyR_30APR_MSPEC,a1,a1,0.041252921,Random,BlueTit,4.1252921
Dusty_13AUG22,a1,a1,0.037555889,Random,BlueTit,3.7555889
ElCocoR_06MAY_MSPEC,a1,a1,0.02289545,Random,BlueTit,2.289545
ElCocoR_10JUNE_MSPEC,a1,a1,0.129745158,Random,BlueTit,12.9745158
ElCocoR_14MAY_MSPEC,a1,a1,0.055884855,Random,BlueTit,5.5884855
ElCoco_10JUL22_MSPEC,a1,a1,0.040982281,Random,BlueTit,4.0982281
ElCoco_19SEP22,a1,a1,0.036175604,Random,BlueTit,3.6175604
ElCoco_2SEP22,a1,a1,0.045041356,Random,BlueTit,4.5041356
ElianeR_12APR_MSPEC,a1,a1,0.604771099,Random,BlueTit,60.4771099
